GATE_DS_SB: -1195.937><-349.4441><-766.2416><-484.0622><2><><48><35
UG_B10: 1200.354><-94.71442><1087.254><-236.0382><2><><104><35
UG_D01: 275.4814><-270.9798><314.409><-344.2307><0><Undergrowth><202><35
UG_A05: -186.5187><-216.7168><-181.1431><-284.7307><0><Undergrowth><102><72
UG_D03: -499.5186><-274.7165><-834.1434><-204.7305><0><Undergrowth><202><122
UG_C02: -884.5185><-32.71657><-970.1431><-62.73068><0><Undergrowth><54><121
UG_D02: -1032.516><-369.7167><-642.1434><-496.7306><2><><48><35
UG_DARK01: -737.2202><-429.4857><-532.7836><-502.4856><2><><151><35
UG_DARK02: -362.4541><-405.1879><-209.7836><-488.3792><2><><48><35
UG_DARK03: -86.20409><-384.9797><-77.38779><-441.7959><2><><48><35
UG_A26: -730.5185><-23.71656><-827.1431><96.26922><0><Undergrowth><48><35
UG_B06: -518.5185><-87.71672><-408.143><-111.7306><0><Undergrowth><94><78
UG_TOLL: -131.9062><-43.8602><-189.8123><-65.87337><0><Undergrowth><148><35
UG_Filters: 176.0287><-57.49064><183.1877><-104.895><0><Undergrowth><54><35
UG_GUTTER01: 608.07><-152.9536><504.4303><-198.8642><0><Undergrowth><101><42
UG_GUTTER02: 710.8986><96.92688><745.2233><-52.91331><0><><48><112
UG_GUTTER03: 690.3886><521.376><624.9169><367.7808><0><><151><112
UG_GUTTER04: 572.4284><335.096><620.7371><240.5809><1><><101><35
UG_GUTTER05: 862.1718><261.7084><933.1373><148.7708><1><><48><78
UG_RIVSTART: 154.0745><274.9584><253.5798><188.4633><1><><151><57
OffScreenDen_UG: -442.5186><189.2832><-46.14273><515.2693><1><Undergrowth><0><0
Connection: GATE_DS_SB,UG_D02,45,9,3,16,0,2
Connection: GATE_DS_SB,UG_S03,36,5,19,18,3,2
Connection: GATE_SU_DS,UG_B02,36,5,4,23,3,2
Connection: GATE_DS_GW,UG_B10,2,11,97,17,2,0
Connection: GATE_DS_CC,UG_GUTTER03,11,5,8,107,3,1
Connection: UG_B02,UG_A22,96,21,4,21,0,2
Connection: UG_A22,UG_A06,43,21,4,21,0,2
Connection: UG_A06,UG_A02,49,21,5,21,0,2
Connection: UG_A02,UG_A09,44,28,49,4,0,3
Connection: UG_A02,UG_B03,48,21,5,62,0,2
Connection: UG_A20,UG_S01r,7,18,29,18,2,0
Connection: UG_A20,UG_B03,33,3,17,14,3,3
Connection: UG_B03,UG_A16,48,60,5,32,0,1
Connection: UG_B03,UG_A05,26,8,35,68,3,1
Connection: UG_A09,UG_A19,34,35,11,4,1,3
Connection: UG_A19,UG_B04,50,15,9,28,0,1
Connection: UG_B04,UG_A08,104,14,5,16,0,2
Connection: UG_A08,UG_B07,41,34,4,31,0,2
Connection: UG_A08,UG_S04,45,6,15,23,3,2
Connection: UG_B07,UG_C04,104,31,2,113,0,2
Connection: UG_B07,UG_A24,90,5,31,32,3,1
Connection: UG_A16,UG_A07,41,24,4,25,3,2
Connection: UG_A07,UG_A24,125,35,4,2,1,3
Connection: UG_A24,UG_A11,45,15,4,13,0,2
Connection: UG_C04,UG_C01,45,17,13,57,0,3
Connection: UG_C04,UG_B08,2,11,45,45,2,0
Connection: UG_A25,UG_Filters,5,65,45,28,2,0
Connection: UG_A25,UG_GUTTER01,49,23,8,21,0,2
Connection: UG_A25,UG_B08,43,3,16,5,3,3
Connection: UG_C01,UG_A21,49,101,4,24,0,2
Connection: UG_C01,UG_S02l,40,57,18,18,3,2
Connection: UG_C01,UG_D01,5,24,197,12,2,0
Connection: UG_C01,UG_C03,42,15,4,12,3,2
Connection: UG_A21,UG_GUTTER05,40,32,30,8,1,3
Connection: UG_C03,UG_B10,141,25,45,9,0,3
Connection: UG_D01,UG_A05,3,6,96,9,2,0
Connection: UG_A05,UG_TOLL,43,67,48,3,1,3
Connection: UG_A05,UG_D03,53,9,197,51,2,0
Connection: UG_A05,UG_DARK03,78,7,25,29,0,2
Connection: UG_D03,UG_C02,3,95,49,14,2,0
Connection: UG_C02,UG_A26,48,59,2,13,0,2
Connection: UG_D02,UG_DARK01,39,4,3,8,3,2
Connection: UG_DARK01,UG_DARK02,146,14,3,6,0,2
Connection: UG_DARK02,UG_DARK03,45,28,2,21,0,2
Connection: UG_A26,UG_B06,42,31,2,74,0,2
Connection: UG_B06,UG_TOLL,88,53,4,17,0,2
Connection: UG_TOLL,UG_Filters,144,21,3,25,0,2
Connection: UG_GUTTER01,UG_GUTTER02,97,33,36,4,1,3
Connection: UG_GUTTER02,UG_GUTTER03,43,106,117,8,1,3
Connection: UG_GUTTER03,UG_GUTTER04,12,21,26,33,3,1
Connection: UG_GUTTER04,UG_GUTTER05,91,27,9,73,0,2
Connection: UG_GUTTER04,UG_RIVSTART,6,12,144,43,2,0
