HR_C01: -193.2701><-1896.903><-470.3216><-1675.228><1><Rubicon><152><35
HR_S12: -1463.6><862.5294><-1036.659><891.3881><1><><48><35
HR_A08: -1790.149><1084.901><-1172.484><891.6333><1><Rubicon><48><35
HR_L05: -1588.951><824.1082><-1095.223><602.0819><2><Rubicon><48><35
HR_L06: -1784.816><543.0938><-1206.041><308.3392><2><Rubicon><48><184
HR_H01: -1134.852><534.2954><-1065.783><469.6326><2><Rubicon><362><35
HR_M06: -679.1205><369.0818><-435.8895><242.353><2><Rubicon><48><72
HR_M05: 340.3883><368.1494><273.4154><263.0477><2><Rubicon><48><72
HR_J02: -176.9146><139.6366><-283.5033><178.6324><2><Rubicon><254><78
HR_I01: -173.2477><494.4984><-156.2485><393.888><2><Rubicon><154><110
HR_S05: 139.7227><378.6555><166.0604><384.3302><1><><48><35
HR_S03: 1975.116><-370.4236><1460.104><-233.5058><1><><48><35
HR_R05: 1840.217><-319.7502><1342.238><-144.8748><1><Rubicon><48><35
HR_R07: 1839.295><-126.1446><1456.844><-109.5329><2><Rubicon><48><106
HR_R01: 1667.982><-251.3297><1225.808><-150.5497><2><Rubicon><48><72
HR_R04: 1509.247><-55.71393><1114.079><37.46657><2><Rubicon><48><72
HR_R06: 1673.217><108.9527><1225.967><167.8273><1><Rubicon><48><35
HR_R11: 1586.159><220.1422><1110.798><261.0252><2><Rubicon><48><35
HR_S01: 1660.565><341.6918><1111.655><409.738><2><><48><35
HR_R13: 1747.524><247.665><1222.433><291.9851><2><Rubicon><48><35
HR_B14: 2019.167><253.7762><1461.527><368.1856><2><Rubicon><105><35
HR_R08: 1852.99><145.4707><1337.662><207.0307><1><Rubicon><48><35
HR_R10: 2095.231><156.8568><1463.277><238.4773><1><Rubicon><96><35
HR_R12: 2278.205><246.1426><1696.801><305.2583><2><Rubicon><48><35
HR_R16: 2319.903><549.5855><1694.896><453.7312><2><Rubicon><108><149
HR_R17: 2003.456><543.3518><1462.511><553.6892><1><Rubicon><101><35
HR_R18: 1971.248><702.6223><1436.094><713.9383><1><Rubicon><101><35
HR_R03: 979.5287><739.2835><689.251><607.5224><1><Rubicon><48><112
HR_S10: 841.876><837.4546><573.9626><743.3745><1><><48><35
HR_R14: 1402.47><848.6007><815.5461><757.12><1><Rubicon><197><35
HR_R15: 1736.068><707.1339><1241.183><661.6726><1><Rubicon><48><72
HR_C09: 1774.753><354.5717><1334.891><348.0484><1><Rubicon><54><120
HR_R09: 1425.84><375.2955><1000.738><293.3561><2><Rubicon><48><117
HR_R02: 826.7048><534.6093><281.7499><475.9356><2><Rubicon><352><35
HR_M01: 141.2717><693.7473><171.4242><594.5413><0><Rubicon><48><72
HR_M02: -148.9735><756.0894><55.74451><674.5597><0><Rubicon><48><35
HR_M03: -180.6776><1034.995><40.20729><865.6328><0><Rubicon><70><112
HR_M04: -179.2774><1489.014><-31.17454><1161.689><0><Rubicon><151><187
HR_LAYERS_OF_REALITY: 2421.73><920.5399><1822.56><896.1061><0><Rubicon><48><35
HR_AI: -175.2774><1491.014><72.82577><1597.689><1><Rubicon><48><42
HR_FINAL: -178.3576><1946.561><62.62913><1764.997><1><Rubicon><70><222
OffScreenDen_HR: -802.2709><-820.9015><577.6783><-1108.226><1><Rubicon><0><0
Connection: HR_C01,HR_A06,3,20,13,12,2,3
Connection: HR_C01,HR_A02,141,11,4,15,0,2
Connection: HR_A02,HR_A07,22,27,44,10,1,3
Connection: HR_A02,HR_AP01,45,10,17,16,0,2
Connection: HR_A06,HR_A07,198,30,11,21,0,2
Connection: HR_A07,HR_AP01,58,26,16,40,0,2
Connection: HR_AP01,HR_LCA,8,81,81,24,2,3
Connection: HR_AP01,HR_S02,46,82,11,13,0,2
Connection: HR_LCA,HR_A03,7,72,28,5,2,3
Connection: HR_LCA,HR_A04,8,36,53,31,2,0
Connection: HR_LCA,HR_A05,120,26,29,49,0,2
Connection: HR_A03,HR_BR1,42,18,11,13,0,2
Connection: HR_A05,HR_COL,116,106,40,4,1,0
Connection: HR_COL,HR_BR1,15,4,155,62,2,0
Connection: HR_A04,HR_US1,27,108,16,4,1,3
Connection: HR_US1,HR_A7R,43,17,24,22,0,3
Connection: HR_US1,HR_S1R,2,15,30,18,2,0
Connection: HR_A7R,HR_BR1,98,47,14,145,0,2
Connection: HR_BR1,HR_IN1,133,159,82,7,1,3
Connection: HR_IN1,HR_BI01,6,19,121,12,2,0
Connection: HR_BI01,HR_BI02,74,36,38,4,1,3
Connection: HR_BI01,HR_SHR,6,12,35,4,2,0
Connection: HR_BI02,HR_TP1,34,40,32,5,1,3
Connection: HR_TP1,HR_CT1,10,30,10,3,2,3
Connection: HR_TP1,HR_B03,55,19,6,24,0,2
Connection: HR_TP1,HR_B01,10,15,448,22,2,0
Connection: HR_B03,HR_CT1,6,75,41,11,2,0
Connection: HR_B03,HR_TER,88,11,5,19,3,3
Connection: HR_CT1,HR_B02,40,30,49,5,0,2
Connection: HR_B02,HR_S11,26,33,20,20,3,1
Connection: HR_TER,HR_gbfi,208,17,27,4,0,3
Connection: HR_B01,HR_hrce,5,32,152,10,2,3
Connection: HR_hrce,HR_A16,74,79,36,5,1,3
Connection: HR_gbfi,HR_R05,304,39,13,7,0,3
Connection: HR_A16,HR_A17,7,24,13,2,2,3
Connection: HR_A16,HR_A18,43,24,21,1,0,3
Connection: HR_A17,HR_C02,43,10,53,9,0,2
Connection: HR_S04,HR_A18,14,27,27,4,1,3
Connection: HR_A18,HR_C02,4,10,100,9,2,0
Connection: HR_C02,HR_L07,68,7,9,17,3,3
Connection: HR_L07,HR_L08,36,105,37,9,1,0
Connection: HR_L08,HR_C14,41,68,15,9,1,3
Connection: HR_L08,HR_B05,3,60,16,5,2,3
Connection: HR_S06,HR_B05,10,10,42,9,2,0
Connection: HR_B05,HR_A14,17,55,16,1,1,3
Connection: HR_C14,HR_A14,18,117,43,19,1,0
Connection: HR_A14,HR_A25,16,31,15,16,1,3
Connection: HR_A25,HR_A08,48,16,4,7,0,2
Connection: HR_L02,HR_E04,22,163,250,4,3,3
Connection: HR_L02,HR_I01,39,15,4,58,1,2
Connection: HR_E04,HR_L03,16,4,42,17,3,0
Connection: HR_L03,HR_L04,3,52,42,20,3,0
Connection: HR_L04,HR_A08,7,31,45,9,1,0
Connection: HR_L04,HR_S12,34,12,20,20,0,2
Connection: HR_L04,HR_L05,7,4,8,29,3,1
Connection: HR_L05,HR_L06,20,10,39,166,2,1
Connection: HR_L06,HR_H01,41,78,5,8,3,3
Connection: HR_H01,HR_M06,327,11,39,64,0,0
Connection: HR_M06,HR_J02,33,22,4,71,3,1
Connection: HR_M05,HR_R02,6,68,7,20,1,2
Connection: HR_M05,HR_J02,6,10,246,71,2,1
Connection: HR_J02,HR_I01,83,71,4,17,1,2
Connection: HR_I01,HR_M01,147,99,8,13,0,2
Connection: HR_I01,HR_S05,147,17,18,18,0,2
Connection: HR_S03,HR_R05,14,18,34,7,2,3
Connection: HR_R05,HR_R07,13,28,18,11,1,3
Connection: HR_R05,HR_R01,2,18,42,16,2,0
Connection: HR_R07,HR_R06,4,98,34,3,2,3
Connection: HR_R01,HR_R04,6,68,41,8,2,0
Connection: HR_R04,HR_R06,36,67,13,4,1,3
Connection: HR_R06,HR_R11,5,29,10,10,2,3
Connection: HR_R06,HR_R08,42,29,4,17,0,2
Connection: HR_R11,HR_C09,41,29,4,56,0,2
Connection: HR_R11,HR_R09,3,22,36,15,2,0
Connection: HR_R11,HR_R13,45,14,3,5,0,2
Connection: HR_S01,HR_R13,13,13,6,23,3,2
Connection: HR_R13,HR_B14,43,16,3,14,0,2
Connection: HR_B14,HR_R12,98,14,15,16,0,2
Connection: HR_R08,HR_R10,43,17,6,13,0,2
Connection: HR_R10,HR_R12,92,10,26,1,0,3
Connection: HR_R12,HR_R16,26,33,42,10,1,0
Connection: HR_R16,HR_LAYERS_OF_REALITY,88,71,24,11,1,3
Connection: HR_R16,HR_R18,7,131,94,23,2,0
Connection: HR_R16,HR_R17,8,68,98,13,1,0
Connection: HR_R17,HR_C09,3,9,48,113,2,0
Connection: HR_R18,HR_R15,10,4,43,18,3,0
Connection: HR_R03,HR_R14,44,96,5,21,0,2
Connection: HR_R03,HR_S10,6,87,20,13,2,0
Connection: HR_R03,HR_R02,21,6,226,13,3,1
Connection: HR_R14,HR_R15,181,17,15,67,3,2
Connection: HR_R15,HR_C09,11,3,8,114,3,1
Connection: HR_R09,HR_R02,24,103,336,17,1,3
Connection: HR_M01,HR_M02,6,57,44,17,2,0
Connection: HR_M02,HR_M03,25,28,31,13,1,3
Connection: HR_M03,HR_M04,32,98,68,16,2,2
Connection: HR_M04,HR_AI,86,117,28,37,3,1
Connection: HR_AI,HR_FINAL,20,37,37,6,1,3
